CaseID,weight,tm_start,tm_finish,duration,age_category,education_level,gender,income_level,marital_status,region,is_parent,state,i_develop_strong_emotions_toward_people_i_can_rely_on_num,i_develop_strong_emotions_toward_people_i_can_rely_on,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams_num,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person_num,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person
817,1.73,3/13/2012,3/13/2012,32.0,55-64,High school,Male,"$50,000 to $59,999",Married,South Atlantic,No,SC,6.0,Agree,7.0,Strongly agree,4.0,Neither agree nor disagree
818,0.38,3/13/2012,3/13/2012,40.0,45-54,High school,Male,"$75,000 to $84,999",Married,Mid-Atlantic,Yes,PA,5.0,Somewhat agree,5.0,Somewhat agree,7.0,Strongly disagree
819,1.85,3/13/2012,3/13/2012,12.0,35-44,Bachelor's degree or higher,Male,"$85,000 to $99,999",Married,Pacific,Yes,CA,5.0,Somewhat agree,4.0,Neither agree nor disagree,2.0,Agree
820,3.56,3/13/2012,3/13/2012,69.0,25-34,High school,Female,"$30,000 to $34,999",Married,Mountain,Yes,AZ,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
821,1.22,3/13/2012,3/13/2012,34.0,45-54,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,East-North Central,No,IL,3.0,Somewhat disagree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
822,2.17,3/13/2012,3/13/2012,36.0,35-44,High school,Male,"$50,000 to $59,999",Divorced,New England,No,CT,6.0,Agree,6.0,Agree,2.0,Agree
823,1.05,3/13/2012,3/13/2012,24.0,35-44,Bachelor's degree or higher,Male,"$25,000 to $29,999",Never married,West-South Central,No,LA,5.0,Somewhat agree,5.0,Somewhat agree,3.0,Somewhat agree
824,2.16,3/13/2012,3/13/2012,32.0,45-54,Less than high school,Female,"$60,000 to $74,999",Married,West-South Central,No,OK,5.0,Somewhat agree,3.0,Somewhat disagree,6.0,Disagree
825,0.34,3/13/2012,3/13/2012,17.0,45-54,Some college,Female,"$60,000 to $74,999",Married,Pacific,Yes,CA,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,1.0,Strongly agree
826,0.37,3/13/2012,3/13/2012,22.0,55-64,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,South Atlantic,No,VA,4.0,Neither agree nor disagree,5.0,Somewhat agree,3.0,Somewhat agree
828,0.98,3/13/2012,3/14/2012,96.0,45-54,Less than high school,Male,"$50,000 to $59,999",Married,Mountain,Yes,NV,7.0,Strongly agree,6.0,Agree,4.0,Neither agree nor disagree
829,0.34,3/13/2012,3/13/2012,28.0,65-74,High school,Female,"$5,000 to $7,499",Divorced,Mid-Atlantic,No,PA,4.0,Neither agree nor disagree,6.0,Agree,3.0,Somewhat agree
830,0.37,3/13/2012,3/17/2012,4370.0,35-44,Some college,Male,"$60,000 to $74,999",Divorced,Mountain,Yes,ID,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
831,1.97,3/13/2012,3/14/2012,85.0,45-54,Less than high school,Male,"$25,000 to $29,999",Married,East-South Central,No,KY,5.0,Somewhat agree,6.0,Agree,2.0,Agree
832,1.4,3/13/2012,3/14/2012,64.0,45-54,Some college,Male,"$30,000 to $34,999",Never married,East-North Central,No,WI,4.0,Neither agree nor disagree,6.0,Agree,2.0,Agree
833,1.1,3/13/2012,3/13/2012,30.0,65-74,High school,Female,"$50,000 to $59,999",Married,East-North Central,No,IL,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
834,1.57,3/13/2012,3/13/2012,33.0,65-74,Some college,Female,"$5,000 to $7,499",Divorced,Mountain,No,NV,6.0,Agree,7.0,Strongly agree,3.0,Somewhat agree
835,1.23,3/13/2012,3/14/2012,46.0,55-64,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,Pacific,Yes,CA,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
836,1.22,3/13/2012,3/14/2012,1458.0,55-64,Some college,Male,"$125,000 to $149,999",Married,New England,No,CT,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
837,0.67,3/13/2012,3/14/2012,36.0,45-54,Some college,Male,"$100,000 to $124,999",Married,South Atlantic,No,GA,4.0,Neither agree nor disagree,5.0,Somewhat agree,3.0,Somewhat agree
838,1.34,3/13/2012,3/14/2012,326.0,18-24,High school,Male,"$85,000 to $99,999",Never married,Pacific,No,CA,5.0,Somewhat agree,6.0,Agree,7.0,Strongly disagree
839,2.27,3/13/2012,3/14/2012,329.0,25-34,Less than high school,Male,"$15,000 to $19,999",Living with partner,West-North Central,Yes,MO,7.0,Strongly agree,6.0,Agree,-1.0,Refused
840,0.45,3/13/2012,3/14/2012,74.0,55-64,Bachelor's degree or higher,Male,"$75,000 to $84,999",Divorced,Pacific,No,CA,5.0,Somewhat agree,7.0,Strongly agree,3.0,Somewhat agree
841,0.7,3/13/2012,3/14/2012,64.0,55-64,High school,Female,"$35,000 to $39,999",Widowed,Mid-Atlantic,No,PA,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
842,1.61,3/13/2012,3/14/2012,43.0,55-64,Bachelor's degree or higher,Male,"$85,000 to $99,999",Divorced,South Atlantic,No,FL,6.0,Agree,6.0,Agree,1.0,Strongly agree
843,1.75,3/13/2012,3/14/2012,44.0,45-54,High school,Female,"$150,000 to $174,999",Married,New England,No,MA,5.0,Somewhat agree,7.0,Strongly agree,3.0,Somewhat agree
844,0.25,3/13/2012,3/14/2012,54.0,75+,Bachelor's degree or higher,Male,"$60,000 to $74,999",Married,East-North Central,No,MI,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
845,0.52,3/13/2012,3/14/2012,108.0,45-54,Less than high school,Female,"$20,000 to $24,999",Never married,East-North Central,No,IN,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
846,0.41,3/13/2012,3/14/2012,31.0,55-64,Bachelor's degree or higher,Male,">=$175,000",Married,Mountain,No,CO,4.0,Neither agree nor disagree,6.0,Agree,4.0,Neither agree nor disagree
847,0.41,3/13/2012,3/17/2012,5238.0,55-64,High school,Female,"$25,000 to $29,999",Married,Mid-Atlantic,No,NY,4.0,Neither agree nor disagree,5.0,Somewhat agree,2.0,Agree
848,0.33,3/13/2012,3/14/2012,40.0,65-74,Some college,Male,"$12,500 to $14,999",Married,Mid-Atlantic,No,NY,5.0,Somewhat agree,4.0,Neither agree nor disagree,6.0,Disagree
849,0.39,3/13/2012,3/14/2012,52.0,45-54,High school,Female,"$100,000 to $124,999",Living with partner,Mid-Atlantic,No,PA,6.0,Agree,6.0,Agree,3.0,Somewhat agree
850,1.07,3/13/2012,3/14/2012,58.0,25-34,Bachelor's degree or higher,Male,">=$175,000",Never married,East-North Central,No,OH,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
851,1.55,3/13/2012,3/14/2012,20.0,35-44,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,Mid-Atlantic,No,PA,6.0,Agree,7.0,Strongly agree,2.0,Agree
852,0.83,3/13/2012,3/14/2012,31.0,55-64,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,New England,No,MA,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
853,0.21,3/13/2012,3/14/2012,49.0,55-64,High school,Female,"$100,000 to $124,999",Married,South Atlantic,No,MD,5.0,Somewhat agree,7.0,Strongly agree,2.0,Agree
854,0.42,3/13/2012,3/14/2012,37.0,65-74,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,South Atlantic,No,DC,7.0,Strongly agree,6.0,Agree,1.0,Strongly agree
855,0.38,3/14/2012,3/14/2012,35.0,55-64,Some college,Male,"$40,000 to $49,999",Never married,West-South Central,No,TX,3.0,Somewhat disagree,6.0,Agree,4.0,Neither agree nor disagree
856,0.74,3/14/2012,3/14/2012,29.0,55-64,Bachelor's degree or higher,Female,"$30,000 to $34,999",Married,Mountain,No,AZ,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
857,0.55,3/14/2012,3/14/2012,591.0,35-44,Bachelor's degree or higher,Male,"$75,000 to $84,999",Married,South Atlantic,Yes,MD,3.0,Somewhat disagree,4.0,Neither agree nor disagree,3.0,Somewhat agree
858,0.77,3/14/2012,3/14/2012,172.0,45-54,Some college,Female,"<$5,000",Never married,West-South Central,Yes,TX,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,7.0,Strongly disagree
859,1.72,3/14/2012,3/14/2012,25.0,25-34,Bachelor's degree or higher,Female,"$40,000 to $49,999",Married,East-North Central,Yes,IL,5.0,Somewhat agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
860,0.54,3/14/2012,3/14/2012,35.0,45-54,High school,Male,"$85,000 to $99,999",Married,South Atlantic,No,VA,5.0,Somewhat agree,7.0,Strongly agree,2.0,Agree
861,0.68,3/14/2012,3/14/2012,39.0,65-74,High school,Female,"$50,000 to $59,999",Divorced,West-North Central,No,MN,6.0,Agree,5.0,Somewhat agree,2.0,Agree
862,1.35,3/14/2012,3/14/2012,30.0,55-64,Some college,Male,"$50,000 to $59,999",Married,Mid-Atlantic,No,NY,4.0,Neither agree nor disagree,7.0,Strongly agree,5.0,Somewhat disagree
863,1.43,3/14/2012,3/14/2012,38.0,55-64,Bachelor's degree or higher,Male,"$35,000 to $39,999",Never married,Pacific,No,CA,6.0,Agree,6.0,Agree,3.0,Somewhat agree
865,0.51,3/14/2012,3/14/2012,22.0,55-64,Some college,Male,"$125,000 to $149,999",Married,East-North Central,No,IL,5.0,Somewhat agree,6.0,Agree,4.0,Neither agree nor disagree
866,1.92,3/14/2012,3/14/2012,23.0,45-54,Bachelor's degree or higher,Male,"$60,000 to $74,999",Married,West-South Central,No,LA,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
867,0.86,3/14/2012,3/14/2012,38.0,55-64,Less than high school,Male,"$12,500 to $14,999",Married,East-North Central,No,OH,3.0,Somewhat disagree,5.0,Somewhat agree,3.0,Somewhat agree
868,2.43,3/14/2012,3/14/2012,18.0,25-34,Some college,Male,"$60,000 to $74,999",Never married,East-North Central,No,MI,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
869,0.73,3/14/2012,3/14/2012,42.0,55-64,Some college,Male,"$85,000 to $99,999",Married,South Atlantic,No,NC,7.0,Strongly agree,7.0,Strongly agree,1.0,Strongly agree
870,0.75,3/14/2012,3/14/2012,31.0,35-44,High school,Female,"$12,500 to $14,999",Never married,South Atlantic,No,NC,4.0,Neither agree nor disagree,5.0,Somewhat agree,2.0,Agree
871,0.77,3/14/2012,3/17/2012,5539.0,45-54,Bachelor's degree or higher,Female,"$85,000 to $99,999",Married,South Atlantic,No,GA,6.0,Agree,4.0,Neither agree nor disagree,6.0,Disagree
872,0.21,3/14/2012,3/14/2012,53.0,75+,Bachelor's degree or higher,Male,"$60,000 to $74,999",Married,Pacific,No,CA,4.0,Neither agree nor disagree,7.0,Strongly agree,1.0,Strongly agree
873,1.29,3/14/2012,3/14/2012,37.0,45-54,High school,Female,"$50,000 to $59,999",Married,East-North Central,No,OH,6.0,Agree,7.0,Strongly agree,3.0,Somewhat agree
874,0.91,3/14/2012,3/14/2012,10.0,18-24,Some college,Female,"$125,000 to $149,999",Never married,South Atlantic,No,FL,1.0,Strongly disagree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
875,0.38,3/14/2012,3/14/2012,39.0,65-74,High school,Male,"$85,000 to $99,999",Married,East-North Central,No,IL,5.0,Somewhat agree,6.0,Agree,2.0,Agree
876,0.27,3/14/2012,3/18/2012,5910.0,45-54,Less than high school,Male,"$50,000 to $59,999",Married,West-South Central,Yes,TX,6.0,Agree,6.0,Agree,2.0,Agree
877,2.34,3/14/2012,3/14/2012,65.0,65-74,Bachelor's degree or higher,Female,"$75,000 to $84,999",Divorced,West-North Central,No,MO,4.0,Neither agree nor disagree,7.0,Strongly agree,2.0,Agree
878,2.01,3/14/2012,3/14/2012,28.0,45-54,Less than high school,Female,"$30,000 to $34,999",Married,East-North Central,No,OH,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
879,0.17,3/14/2012,3/14/2012,54.0,55-64,High school,Female,"$40,000 to $49,999",Married,Mid-Atlantic,No,PA,6.0,Agree,7.0,Strongly agree,6.0,Disagree
880,1.22,3/14/2012,3/14/2012,45.0,55-64,Less than high school,Male,"$15,000 to $19,999",Married,West-South Central,No,TX,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
881,0.31,3/14/2012,3/14/2012,19.0,65-74,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,Mountain,No,CO,6.0,Agree,2.0,Disagree,7.0,Strongly disagree
882,0.95,3/14/2012,3/14/2012,45.0,45-54,High school,Male,"$75,000 to $84,999",Married,Mountain,No,UT,5.0,Somewhat agree,2.0,Disagree,2.0,Agree
883,3.21,3/14/2012,3/14/2012,29.0,25-34,Some college,Female,"$85,000 to $99,999",Married,Pacific,Yes,CA,5.0,Somewhat agree,7.0,Strongly agree,1.0,Strongly agree
884,0.33,3/14/2012,3/14/2012,49.0,65-74,Some college,Female,"$60,000 to $74,999",Married,South Atlantic,No,MD,6.0,Agree,6.0,Agree,3.0,Somewhat agree
885,0.91,3/14/2012,3/14/2012,29.0,35-44,High school,Male,"$75,000 to $84,999",Married,New England,No,NH,6.0,Agree,6.0,Agree,6.0,Disagree
886,0.76,3/14/2012,3/14/2012,54.0,65-74,High school,Female,"$60,000 to $74,999",Married,East-North Central,No,IL,5.0,Somewhat agree,7.0,Strongly agree,3.0,Somewhat agree
887,0.33,3/14/2012,3/14/2012,20.0,55-64,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,East-South Central,No,AL,1.0,Strongly disagree,5.0,Somewhat agree,6.0,Disagree
888,1.45,3/14/2012,3/18/2012,5823.0,35-44,High school,Female,"$50,000 to $59,999",Married,East-North Central,No,IN,7.0,Strongly agree,5.0,Somewhat agree,7.0,Strongly disagree
889,1.85,3/14/2012,3/14/2012,34.0,35-44,Less than high school,Female,"$15,000 to $19,999",Living with partner,South Atlantic,No,GA,7.0,Strongly agree,7.0,Strongly agree,1.0,Strongly agree
890,0.76,3/14/2012,3/14/2012,30.0,45-54,Some college,Male,"$40,000 to $49,999",Married,East-North Central,Yes,OH,3.0,Somewhat disagree,5.0,Somewhat agree,2.0,Agree
891,0.38,3/14/2012,3/14/2012,33.0,55-64,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Mid-Atlantic,No,PA,7.0,Strongly agree,7.0,Strongly agree,6.0,Disagree
892,1.63,3/14/2012,3/14/2012,40.0,35-44,High school,Male,"$85,000 to $99,999",Living with partner,South Atlantic,Yes,MD,5.0,Somewhat agree,6.0,Agree,4.0,Neither agree nor disagree
893,0.33,3/14/2012,3/14/2012,58.0,75+,Bachelor's degree or higher,Male,"$40,000 to $49,999",Married,Mid-Atlantic,No,NY,5.0,Somewhat agree,7.0,Strongly agree,2.0,Agree
894,1.41,3/14/2012,3/14/2012,49.0,75+,High school,Male,"$50,000 to $59,999",Married,New England,No,MA,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
895,0.83,3/14/2012,3/14/2012,28.0,25-34,Some college,Male,"$35,000 to $39,999",Married,Pacific,Yes,WA,5.0,Somewhat agree,5.0,Somewhat agree,-1.0,Refused
896,1.48,3/14/2012,3/14/2012,60.0,45-54,Bachelor's degree or higher,Male,"$85,000 to $99,999",Married,South Atlantic,Yes,GA,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
897,0.35,3/14/2012,3/14/2012,24.0,55-64,Bachelor's degree or higher,Female,"$50,000 to $59,999",Married,Mid-Atlantic,No,PA,6.0,Agree,7.0,Strongly agree,1.0,Strongly agree
898,1.63,3/14/2012,3/14/2012,92.0,65-74,Some college,Male,"$60,000 to $74,999",Married,West-South Central,No,TX,7.0,Strongly agree,5.0,Somewhat agree,7.0,Strongly disagree
899,0.8,3/14/2012,3/14/2012,33.0,25-34,Bachelor's degree or higher,Male,"$40,000 to $49,999",Married,Pacific,Yes,OR,5.0,Somewhat agree,5.0,Somewhat agree,3.0,Somewhat agree
900,0.44,3/14/2012,3/14/2012,32.0,25-34,Some college,Female,"$125,000 to $149,999",Married,East-North Central,Yes,WI,4.0,Neither agree nor disagree,6.0,Agree,4.0,Neither agree nor disagree
901,1.77,3/14/2012,3/14/2012,26.0,35-44,Bachelor's degree or higher,Female,"$35,000 to $39,999",Married,Mountain,Yes,CO,6.0,Agree,6.0,Agree,6.0,Disagree
902,0.15,3/14/2012,3/14/2012,42.0,55-64,Bachelor's degree or higher,Male,"$125,000 to $149,999",Divorced,East-South Central,No,AL,6.0,Agree,6.0,Agree,6.0,Disagree
903,0.72,3/14/2012,3/14/2012,28.0,35-44,Bachelor's degree or higher,Female,"$40,000 to $49,999",Divorced,Mountain,Yes,UT,4.0,Neither agree nor disagree,3.0,Somewhat disagree,5.0,Somewhat disagree
904,1.73,3/14/2012,3/14/2012,33.0,25-34,Bachelor's degree or higher,Female,"$35,000 to $39,999",Married,South Atlantic,Yes,GA,5.0,Somewhat agree,7.0,Strongly agree,5.0,Somewhat disagree
905,0.35,3/14/2012,3/14/2012,30.0,45-54,Bachelor's degree or higher,Female,"$125,000 to $149,999",Married,East-North Central,No,IN,6.0,Agree,6.0,Agree,3.0,Somewhat agree
906,0.44,3/14/2012,3/14/2012,38.0,65-74,High school,Female,"$60,000 to $74,999",Married,Mountain,No,AZ,2.0,Disagree,6.0,Agree,3.0,Somewhat agree
907,0.31,3/14/2012,3/14/2012,37.0,75+,High school,Male,"$40,000 to $49,999",Married,Mountain,No,CO,6.0,Agree,6.0,Agree,3.0,Somewhat agree
908,0.18,3/14/2012,3/14/2012,37.0,65-74,High school,Male,"$35,000 to $39,999",Married,Mountain,No,AZ,7.0,Strongly agree,7.0,Strongly agree,2.0,Agree
909,2.79,3/14/2012,3/14/2012,33.0,25-34,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,West-North Central,Yes,SD,6.0,Agree,6.0,Agree,3.0,Somewhat agree
910,1.63,3/14/2012,3/14/2012,51.0,35-44,Bachelor's degree or higher,Male,"$50,000 to $59,999",Divorced,West-North Central,No,MO,5.0,Somewhat agree,5.0,Somewhat agree,2.0,Agree
911,0.53,3/14/2012,3/14/2012,23.0,18-24,High school,Male,"$75,000 to $84,999",Never married,West-North Central,No,KS,7.0,Strongly agree,7.0,Strongly agree,5.0,Somewhat disagree
912,0.39,3/14/2012,3/14/2012,24.0,35-44,High school,Female,"$75,000 to $84,999",Married,Mountain,Yes,ID,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
913,1.45,3/14/2012,3/14/2012,51.0,18-24,Less than high school,Male,"<$5,000",Never married,Mid-Atlantic,No,PA,4.0,Neither agree nor disagree,1.0,Strongly disagree,2.0,Agree
914,0.5,3/14/2012,3/14/2012,39.0,35-44,Some college,Male,"$125,000 to $149,999",Married,Mid-Atlantic,Yes,NJ,4.0,Neither agree nor disagree,3.0,Somewhat disagree,3.0,Somewhat agree
916,0.94,3/14/2012,3/14/2012,32.0,18-24,Some college,Female,"$50,000 to $59,999",Never married,South Atlantic,No,NC,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
917,2.5,3/14/2012,3/16/2012,2708.0,55-64,Bachelor's degree or higher,Male,"$60,000 to $74,999",Never married,West-South Central,Yes,TX,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
918,1.1,3/14/2012,3/14/2012,33.0,45-54,Bachelor's degree or higher,Female,">=$175,000",Married,East-North Central,No,IL,7.0,Strongly agree,7.0,Strongly agree,3.0,Somewhat agree
919,2.37,3/14/2012,3/14/2012,32.0,25-34,High school,Female,"$20,000 to $24,999",Married,East-South Central,Yes,TN,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
920,1.32,3/14/2012,3/14/2012,14.0,25-34,High school,Male,"$20,000 to $24,999",Never married,South Atlantic,No,MD,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
921,0.62,3/14/2012,3/17/2012,4379.0,18-24,Some college,Female,"$85,000 to $99,999",Never married,East-South Central,No,AL,5.0,Somewhat agree,-1.0,Refused,4.0,Neither agree nor disagree
922,0.15,3/14/2012,3/14/2012,51.0,18-24,High school,Female,"$40,000 to $49,999",Living with partner,East-North Central,No,IL,6.0,Agree,7.0,Strongly agree,2.0,Agree
923,1.75,3/14/2012,3/14/2012,58.0,25-34,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Pacific,No,WA,3.0,Somewhat disagree,5.0,Somewhat agree,3.0,Somewhat agree
924,0.73,3/14/2012,3/14/2012,29.0,55-64,High school,Female,"$12,500 to $14,999",Married,East-North Central,No,OH,6.0,Agree,5.0,Somewhat agree,6.0,Disagree
925,0.96,3/14/2012,3/14/2012,51.0,55-64,Some college,Female,"$25,000 to $29,999",Never married,East-North Central,No,WI,7.0,Strongly agree,6.0,Agree,3.0,Somewhat agree
926,1.42,3/14/2012,3/14/2012,54.0,45-54,Bachelor's degree or higher,Female,"$150,000 to $174,999",Married,Pacific,Yes,CA,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
927,1.13,3/14/2012,3/14/2012,94.0,75+,Less than high school,Male,"$15,000 to $19,999",Married,West-South Central,No,LA,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
928,0.65,3/14/2012,3/14/2012,31.0,55-64,Bachelor's degree or higher,Female,"$60,000 to $74,999",Divorced,South Atlantic,No,GA,6.0,Agree,7.0,Strongly agree,7.0,Strongly disagree
929,0.34,3/14/2012,3/14/2012,23.0,55-64,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Pacific,Yes,CA,6.0,Agree,6.0,Agree,2.0,Agree
930,1.32,3/14/2012,3/14/2012,56.0,55-64,Some college,Female,"$25,000 to $29,999",Married,East-South Central,No,KY,6.0,Agree,3.0,Somewhat disagree,7.0,Strongly disagree
931,0.43,3/14/2012,3/18/2012,6521.0,35-44,High school,Male,"$50,000 to $59,999",Never married,Pacific,No,CA,6.0,Agree,7.0,Strongly agree,1.0,Strongly agree
932,0.6,3/14/2012,3/14/2012,30.0,55-64,High school,Male,"$50,000 to $59,999",Married,New England,No,MA,5.0,Somewhat agree,7.0,Strongly agree,7.0,Strongly disagree
933,1.23,3/14/2012,3/14/2012,39.0,35-44,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,Pacific,Yes,CA,5.0,Somewhat agree,1.0,Strongly disagree,3.0,Somewhat agree
934,2.07,3/14/2012,3/14/2012,30.0,25-34,High school,Female,"$35,000 to $39,999",Living with partner,South Atlantic,No,SC,4.0,Neither agree nor disagree,7.0,Strongly agree,4.0,Neither agree nor disagree
935,0.44,3/14/2012,3/14/2012,34.0,55-64,High school,Male,"$60,000 to $74,999",Married,East-South Central,No,TN,5.0,Somewhat agree,5.0,Somewhat agree,3.0,Somewhat agree
936,0.39,3/14/2012,3/14/2012,65.0,65-74,High school,Female,"$30,000 to $34,999",Married,South Atlantic,No,GA,6.0,Agree,5.0,Somewhat agree,2.0,Agree
938,2.07,3/14/2012,3/14/2012,22.0,18-24,Less than high school,Female,"$50,000 to $59,999",Married,West-South Central,Yes,OK,6.0,Agree,7.0,Strongly agree,7.0,Strongly disagree
939,2.71,3/14/2012,3/14/2012,20.0,25-34,Bachelor's degree or higher,Female,"$150,000 to $174,999",Married,Pacific,No,CA,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
940,0.39,3/14/2012,3/14/2012,21.0,55-64,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Pacific,No,CA,4.0,Neither agree nor disagree,3.0,Somewhat disagree,6.0,Disagree
941,0.22,3/14/2012,3/14/2012,25.0,45-54,Bachelor's degree or higher,Male,">=$175,000",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,5.0,Somewhat disagree
943,0.27,3/14/2012,3/14/2012,38.0,55-64,Bachelor's degree or higher,Female,"$100,000 to $124,999",Never married,East-North Central,No,MI,6.0,Agree,6.0,Agree,1.0,Strongly agree
944,0.92,3/14/2012,3/14/2012,35.0,35-44,High school,Female,"$100,000 to $124,999",Married,West-South Central,Yes,TX,7.0,Strongly agree,7.0,Strongly agree,1.0,Strongly agree
945,0.14,3/14/2012,3/14/2012,42.0,18-24,High school,Female,"$15,000 to $19,999",Married,West-North Central,No,MO,4.0,Neither agree nor disagree,7.0,Strongly agree,2.0,Agree
946,3.05,3/14/2012,3/14/2012,31.0,45-54,Less than high school,Female,"$40,000 to $49,999",Married,Pacific,Yes,CA,-1.0,Refused,-1.0,Refused,-1.0,Refused
947,0.36,3/14/2012,3/14/2012,38.0,65-74,Some college,Male,"$125,000 to $149,999",Married,Pacific,No,CA,5.0,Somewhat agree,7.0,Strongly agree,6.0,Disagree
948,1.18,3/14/2012,3/14/2012,28.0,35-44,Less than high school,Male,"$100,000 to $124,999",Married,East-North Central,Yes,IL,6.0,Agree,6.0,Agree,3.0,Somewhat agree
949,0.48,3/14/2012,3/14/2012,92.0,75+,Less than high school,Male,"$25,000 to $29,999",Married,Pacific,No,HI,4.0,Neither agree nor disagree,5.0,Somewhat agree,7.0,Strongly disagree
950,0.66,3/14/2012,3/14/2012,47.0,65-74,Bachelor's degree or higher,Male,"$60,000 to $74,999",Married,South Atlantic,No,VA,6.0,Agree,6.0,Agree,2.0,Agree
951,2.27,3/14/2012,3/14/2012,10.0,55-64,Less than high school,Female,"$35,000 to $39,999",Living with partner,East-South Central,No,TN,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
952,0.93,3/14/2012,3/14/2012,25.0,18-24,Some college,Female,"$150,000 to $174,999",Never married,West-North Central,No,MO,6.0,Agree,6.0,Agree,3.0,Somewhat agree
953,1.99,3/14/2012,3/14/2012,35.0,55-64,High school,Female,"$85,000 to $99,999",Married,Mountain,No,NV,6.0,Agree,4.0,Neither agree nor disagree,2.0,Agree
954,0.46,3/14/2012,3/14/2012,17.0,55-64,High school,Female,"$125,000 to $149,999",Married,East-South Central,No,KY,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
955,0.3,3/14/2012,3/14/2012,21.0,55-64,Bachelor's degree or higher,Female,">=$175,000",Married,Mid-Atlantic,No,PA,6.0,Agree,6.0,Agree,7.0,Strongly disagree
957,1.44,3/14/2012,3/14/2012,66.0,45-54,High school,Female,"$15,000 to $19,999",Divorced,West-South Central,No,TX,6.0,Agree,7.0,Strongly agree,4.0,Neither agree nor disagree
958,0.97,3/14/2012,3/14/2012,17.0,25-34,Bachelor's degree or higher,Female,"$50,000 to $59,999",Living with partner,Mid-Atlantic,No,PA,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
959,1.77,3/14/2012,3/14/2012,18.0,25-34,Bachelor's degree or higher,Male,"$20,000 to $24,999",Never married,New England,No,VT,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
960,0.48,3/14/2012,3/14/2012,52.0,65-74,Some college,Female,"$100,000 to $124,999",Widowed,West-South Central,No,OK,7.0,Strongly agree,6.0,Agree,2.0,Agree
961,0.66,3/14/2012,3/14/2012,41.0,65-74,High school,Male,"$35,000 to $39,999",Married,West-North Central,No,MO,5.0,Somewhat agree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
